text,positive_score,negative_score,neutral_score
We visited the Citadel with great expectations.,0.9739197,0.0028871628,0.023193102
"It is very large, with a good collection of black n white photos of their kings and society hundreds of years ago.",0.700145,0.008902241,0.29095277
We were most disappointed to see a flat empty open space where the Forbidden City once stood - bombed and destroyed completely during the war.,0.0064596585,0.92449635,0.06904403
Much of the rest of the imperial complex had also been similarly destroyed.,0.0065168254,0.81020176,0.18328139
Restoration work had recreated some spaces but much more needs to be done.,0.10309143,0.09011707,0.80679154
"With a good guide, we were able to appreciate the highlights of its history.",0.9443656,0.003403646,0.05223079
The Imperial City and the Purple Forbidden City are the alleged historical ensembles within the Hue Citadel.,0.0292599,0.011039606,0.9597004
We knew little about Hue and had almost no idea what to expect from the Citadel and Imperial City.,0.0254341,0.47156745,0.5029985
"The Citadel, Imperial City, and Purple Forbidden City are well worth the morning.",0.94048405,0.0026501864,0.056865804
We were quite blown away by The Citadel and the enclosed Imperial City.,0.9621174,0.0031644255,0.034718208
Perhaps we should have spent more time here.,0.08399566,0.1402425,0.7757618
This might be the most historical site in Vietnam.,0.51548797,0.01991788,0.4645942
"The complex moat system surrounding the Citadel added an aura of mystery, leading us to the elaborate temples and palaces within.",0.0809188,0.03609246,0.8829888
The grand processions that once graced these grounds echoed in our minds as we marveled at the intricate architecture and rich history that unfolded before our eyes.,0.94028324,0.0032037366,0.056513004
A must-visit for any couple seeking to immerse themselves in the grandeur of Vietnam's imperial past.,0.90248686,0.00421258,0.09330052
Explore the exquisite historical site—an impressive and sizable complex.,0.96759754,0.0033223121,0.029080117
"When you visit, consider dressing up—it’s a thoughtful gesture.",0.8298039,0.016734954,0.1534611
"Additionally, you’ll find informative details in English about the attractions.",0.7618641,0.003155525,0.23498031
Allocate at least half a day to fully savor the experience.,0.82925045,0.007113725,0.16363584
"It's 2 hours from Da Nang 1-way, but thought it was worth it since we had a lot of time.",0.8094575,0.009398049,0.18114443
"If you just have a few days, I don't think Hue is a must.",0.064806715,0.23676904,0.6984243
"The grand scale of the citadel, with its intricate mosaics and elaborate gardens, provided a glimpse into the rich history and culture of Vietnam.",0.86952263,0.0038065936,0.12667085
